Ano,Classe,Área_ha
2018,Água,8966.34
2018,Floresta Nativa,175723.65
2018,Floresta Plantada,19367.01
2018,Agricultura,259045.29
2018,Agricultura em Pousio,439515.63
2018,Solo Exposto,45588.51
2019,Água,9962.28
2019,Floresta Nativa,187328.34
2019,Floresta Plantada,28456.74
2019,Agricultura,115696.98
2019,Agricultura em Pousio,525666.24
2019,Solo Exposto,81095.85
2020,Água,9693.27
2020,Floresta Nativa,176361.75
2020,Floresta Plantada,34715.16
2020,Agricultura,73170.81
2020,Agricultura em Pousio,565773.93
2020,Solo Exposto,88491.51
2021,Água,9726.84
2021,Floresta Nativa,170578.44
2021,Floresta Plantada,35886.96
2021,Agricultura,79870.32
2021,Agricultura em Pousio,562912.02
2021,Solo Exposto,89231.85
2022,Água,9620.01
2022,Floresta Nativa,167455.62
2022,Floresta Plantada,21835.98
2022,Agricultura,83819.97
2022,Agricultura em Pousio,584169.21
2022,Solo Exposto,81305.64
2023,Água,9782.82
2023,Floresta Nativa,187583.58
2023,Floresta Plantada,40581.45
2023,Agricultura,105855.66
2023,Agricultura em Pousio,506574.81
2023,Solo Exposto,97828.11
2024,Água,10036.44
2024,Floresta Nativa,203384.43
2024,Floresta Plantada,26355.69
2024,Agricultura,102955.86
2024,Agricultura em Pousio,515908.71
2024,Solo Exposto,89565.3
2025,Água,9860.67
2025,Floresta Nativa,210648.06
2025,Floresta Plantada,25041.51
2025,Agricultura,115783.74
2025,Agricultura em Pousio,512328.15
2025,Solo Exposto,74544.3
